SalesTable
Region   Product   Category   Store    Quarter   Revenue
North    Apple     Fruit      Store1   Q1        100
North    Banana    Fruit      Store1   Q1        200
South    Apple     Fruit      Store2   Q1        150
South    Banana    Fruit      Store2   Q1        50
East     Apple     Fruit      Store3   Q1        120
East     Banana    Fruit      Store3   Q1        80
North    Apple     Fruit      Store1   Q2        110
North    Banana    Fruit      Store1   Q2        220
South    Apple     Fruit      Store2   Q2        140
South    Banana    Fruit      Store2   Q2        60
East     Apple     Fruit      Store3   Q2        130
East     Banana    Fruit      Store3   Q2        90
North    Apple     Fruit      Store1   Q3        120
North    Banana    Fruit      Store1   Q3        240
South    Apple     Fruit      Store2   Q3        160
South    Banana    Fruit      Store2   Q3        70
East     Apple     Fruit      Store3   Q3        140
East     Banana    Fruit      Store3   Q3        100
North    Apple     Fruit      Store1   Q4        130
North    Banana    Fruit      Store1   Q4        260
South    Apple     Fruit      Store2   Q4        170
South    Banana    Fruit      Store2   Q4        80
East     Apple     Fruit      Store3   Q4        150
East     Banana    Fruit      Store3   Q4        110
North    Apple     Fruit      Store1   Q1        105
North    Banana    Fruit      Store1   Q1        210
South    Apple     Fruit      Store2   Q1        155
South    Banana    Fruit      Store2   Q1        55
East     Apple     Fruit      Store3   Q1        125
East     Banana    Fruit      Store3   Q1        85
North    Apple     Fruit      Store1   Q2        115
North    Banana    Fruit      Store1   Q2        225
South    Apple     Fruit      Store2   Q2        145
South    Banana    Fruit      Store2   Q2        65
East     Apple     Fruit      Store3   Q2        135
East     Banana    Fruit      Store3   Q2        95
North    Apple     Fruit      Store1   Q3        125
North    Banana    Fruit      Store1   Q3        250
South    Apple     Fruit      Store2   Q3        165
South    Banana    Fruit      Store2   Q3        75
East     Apple     Fruit      Store3   Q3        145
East     Banana    Fruit      Store3   Q3        105
North    Apple     Fruit      Store1   Q4        135
North    Banana    Fruit      Store1   Q4        270
South    Apple     Fruit      Store2   Q4        175
South    Banana    Fruit      Store2   Q4        85
East     Apple     Fruit      Store3   Q4        155
East     Banana    Fruit      Store3   Q4        115
North    Apple     Fruit      Store1   Q1        110
North    Banana    Fruit      Store1   Q1        215
South    Apple     Fruit      Store2   Q1        160
South    Banana    Fruit      Store2   Q1        60
East     Apple     Fruit      Store3   Q1        130
East     Banana    Fruit      Store3   Q1        90
