Region  Product  Category  Store    Quarter  SUM         COUNT       MIN         MAX         AVG
East     Apple    Fruit     NULL     NULL    1230        9           120         155         136.667     
East     Apple    Fruit     NULL     Q1      375         3           120         130         125         
East     Apple    Fruit     NULL     Q2      265         2           130         135         132.5       
East     Apple    Fruit     NULL     Q3      285         2           140         145         142.5       
East     Apple    Fruit     NULL     Q4      305         2           150         155         152.5       
East     Apple    Fruit     Store3   NULL    1230        9           120         155         136.667     
East     Apple    Fruit     Store3   Q1      375         3           120         130         125         
East     Apple    Fruit     Store3   Q2      265         2           130         135         132.5       
East     Apple    Fruit     Store3   Q3      285         2           140         145         142.5       
East     Apple    Fruit     Store3   Q4      305         2           150         155         152.5       
East     Apple    NULL      NULL     NULL    1230        9           120         155         136.667     
East     Apple    NULL      NULL     Q1      375         3           120         130         125         
East     Apple    NULL      NULL     Q2      265         2           130         135         132.5       
East     Apple    NULL      NULL     Q3      285         2           140         145         142.5       
East     Apple    NULL      NULL     Q4      305         2           150         155         152.5       
East     Apple    NULL      Store3   NULL    1230        9           120         155         136.667     
East     Apple    NULL      Store3   Q1      375         3           120         130         125         
East     Apple    NULL      Store3   Q2      265         2           130         135         132.5       
East     Apple    NULL      Store3   Q3      285         2           140         145         142.5       
East     Apple    NULL      Store3   Q4      305         2           150         155         152.5       
East     Banana   Fruit     NULL     NULL    870         9           80          115         96.6667     
East     Banana   Fruit     NULL     Q1      255         3           80          90          85          
East     Banana   Fruit     NULL     Q2      185         2           90          95          92.5        
East     Banana   Fruit     NULL     Q3      205         2           100         105         102.5       
East     Banana   Fruit     NULL     Q4      225         2           110         115         112.5       
East     Banana   Fruit     Store3   NULL    870         9           80          115         96.6667     
East     Banana   Fruit     Store3   Q1      255         3           80          90          85          
East     Banana   Fruit     Store3   Q2      185         2           90          95          92.5        
East     Banana   Fruit     Store3   Q3      205         2           100         105         102.5       
East     Banana   Fruit     Store3   Q4      225         2           110         115         112.5       
East     Banana   NULL      NULL     NULL    870         9           80          115         96.6667     
East     Banana   NULL      NULL     Q1      255         3           80          90          85          
East     Banana   NULL      NULL     Q2      185         2           90          95          92.5        
East     Banana   NULL      NULL     Q3      205         2           100         105         102.5       
East     Banana   NULL      NULL     Q4      225         2           110         115         112.5       
East     Banana   NULL      Store3   NULL    870         9           80          115         96.6667     
East     Banana   NULL      Store3   Q1      255         3           80          90          85          
East     Banana   NULL      Store3   Q2      185         2           90          95          92.5        
East     Banana   NULL      Store3   Q3      205         2           100         105         102.5       
East     Banana   NULL      Store3   Q4      225         2           110         115         112.5       
East     NULL     Fruit     NULL     NULL    2100        18          80          155         116.667     
East     NULL     Fruit     NULL     Q1      630         6           80          130         105         
East     NULL     Fruit     NULL     Q2      450         4           90          135         112.5       
East     NULL     Fruit     NULL     Q3      490         4           100         145         122.5       
East     NULL     Fruit     NULL     Q4      530         4           110         155         132.5       
East     NULL     Fruit     Store3   NULL    2100        18          80          155         116.667     
East     NULL     Fruit     Store3   Q1      630         6           80          130         105         
East     NULL     Fruit     Store3   Q2      450         4           90          135         112.5       
East     NULL     Fruit     Store3   Q3      490         4           100         145         122.5       
East     NULL     Fruit     Store3   Q4      530         4           110         155         132.5       
East     NULL     NULL      NULL     NULL    2100        18          80          155         116.667     
East     NULL     NULL      NULL     Q1      630         6           80          130         105         
East     NULL     NULL      NULL     Q2      450         4           90          135         112.5       
East     NULL     NULL      NULL     Q3      490         4           100         145         122.5       
East     NULL     NULL      NULL     Q4      530         4           110         155         132.5       
East     NULL     NULL      Store3   NULL    2100        18          80          155         116.667     
East     NULL     NULL      Store3   Q1      630         6           80          130         105         
East     NULL     NULL      Store3   Q2      450         4           90          135         112.5       
East     NULL     NULL      Store3   Q3      490         4           100         145         122.5       
East     NULL     NULL      Store3   Q4      530         4           110         155         132.5       
NULL     Apple    Fruit     NULL     NULL    3700        27          100         175         137.037     
NULL     Apple    Fruit     NULL     Q1      1155        9           100         160         128.333     
NULL     Apple    Fruit     NULL     Q2      775         6           110         145         129.167     
NULL     Apple    Fruit     NULL     Q3      855         6           120         165         142.5       
NULL     Apple    Fruit     NULL     Q4      915         6           130         175         152.5       
NULL     Apple    Fruit     Store1   NULL    1050        9           100         135         116.667     
NULL     Apple    Fruit     Store1   Q1      315         3           100         110         105         
NULL     Apple    Fruit     Store1   Q2      225         2           110         115         112.5       
NULL     Apple    Fruit     Store1   Q3      245         2           120         125         122.5       
NULL     Apple    Fruit     Store1   Q4      265         2           130         135         132.5       
NULL     Apple    Fruit     Store2   NULL    1420        9           140         175         157.778     
NULL     Apple    Fruit     Store2   Q1      465         3           150         160         155         
NULL     Apple    Fruit     Store2   Q2      285         2           140         145         142.5       
NULL     Apple    Fruit     Store2   Q3      325         2           160         165         162.5       
NULL     Apple    Fruit     Store2   Q4      345         2           170         175         172.5       
NULL     Apple    Fruit     Store3   NULL    1230        9           120         155         136.667     
NULL     Apple    Fruit     Store3   Q1      375         3           120         130         125         
NULL     Apple    Fruit     Store3   Q2      265         2           130         135         132.5       
NULL     Apple    Fruit     Store3   Q3      285         2           140         145         142.5       
NULL     Apple    Fruit     Store3   Q4      305         2           150         155         152.5       
NULL     Apple    NULL      NULL     NULL    3700        27          100         175         137.037     
NULL     Apple    NULL      NULL     Q1      1155        9           100         160         128.333     
NULL     Apple    NULL      NULL     Q2      775         6           110         145         129.167     
NULL     Apple    NULL      NULL     Q3      855         6           120         165         142.5       
NULL     Apple    NULL      NULL     Q4      915         6           130         175         152.5       
NULL     Apple    NULL      Store1   NULL    1050        9           100         135         116.667     
NULL     Apple    NULL      Store1   Q1      315         3           100         110         105         
NULL     Apple    NULL      Store1   Q2      225         2           110         115         112.5       
NULL     Apple    NULL      Store1   Q3      245         2           120         125         122.5       
NULL     Apple    NULL      Store1   Q4      265         2           130         135         132.5       
NULL     Apple    NULL      Store2   NULL    1420        9           140         175         157.778     
NULL     Apple    NULL      Store2   Q1      465         3           150         160         155         
NULL     Apple    NULL      Store2   Q2      285         2           140         145         142.5       
NULL     Apple    NULL      Store2   Q3      325         2           160         165         162.5       
NULL     Apple    NULL      Store2   Q4      345         2           170         175         172.5       
NULL     Apple    NULL      Store3   NULL    1230        9           120         155         136.667     
NULL     Apple    NULL      Store3   Q1      375         3           120         130         125         
NULL     Apple    NULL      Store3   Q2      265         2           130         135         132.5       
NULL     Apple    NULL      Store3   Q3      285         2           140         145         142.5       
NULL     Apple    NULL      Store3   Q4      305         2           150         155         152.5       
NULL     Banana   Fruit     NULL     NULL    3560        27          50          270         131.852     
NULL     Banana   Fruit     NULL     Q1      1045        9           50          215         116.111     
NULL     Banana   Fruit     NULL     Q2      755         6           60          225         125.833     
NULL     Banana   Fruit     NULL     Q3      840         6           70          250         140         
NULL     Banana   Fruit     NULL     Q4      920         6           80          270         153.333     
NULL     Banana   Fruit     Store1   NULL    2090        9           200         270         232.222     
NULL     Banana   Fruit     Store1   Q1      625         3           200         215         208.333     
NULL     Banana   Fruit     Store1   Q2      445         2           220         225         222.5       
NULL     Banana   Fruit     Store1   Q3      490         2           240         250         245         
NULL     Banana   Fruit     Store1   Q4      530         2           260         270         265         
NULL     Banana   Fruit     Store2   NULL    600         9           50          85          66.6667     
NULL     Banana   Fruit     Store2   Q1      165         3           50          60          55          
NULL     Banana   Fruit     Store2   Q2      125         2           60          65          62.5        
